"form","count","description","example_filing_url","example_primary_doc_url"
"F-6EF","12439","For registration of depositary shares. Used when a foreign issuer wants to list its shares in the US through a depositary bank.","https://www.sec.gov/Archives/edgar/data/1472033/000119380524001075/0001193805-24-001075-index.html","https://www.sec.gov/Archives/edgar/data/1472033/000119380524001075/e663862_f6ef-dksh.htm"
"SD","12382","Specialized Disclosure Report. Used to report information required by specific SEC rules or regulations.","https://www.sec.gov/Archives/edgar/data/1377789/000137778924000031/0001377789-24-000031-index.html","https://www.sec.gov/Archives/edgar/data/1377789/000137778924000031/formsd2023.htm"
"PRER14A","12028","Preliminary Proxy Statement (Regulation 14A). An early version of the proxy statement filed with the SEC for review before being sent to shareholders.","https://www.sec.gov/Archives/edgar/data/1912461/000121390024073304/0001213900-24-073304-index.html","https://www.sec.gov/Archives/edgar/data/1912461/000121390024073304/ea0210653-02.htm"
"10KSB/A","11909","Amendment to Annual Report of Small Business Issuers (Form 10-KSB).  ","https://www.sec.gov/Archives/edgar/data/799268/000115752309002106/0001157523-09-002106-index.html","https://www.sec.gov/Archives/edgar/data/799268/000115752309002106/a5917242.txt"
"40-17G/A","11044","Amendment to an application filed by credit rating agencies. Used for making changes or providing updates to their initial applications or registrations.","https://www.sec.gov/Archives/edgar/data/1955010/000113322824008323/0001133228-24-008323-index.html","https://www.sec.gov/Archives/edgar/data/1955010/000113322824008323/trposplf-efp9700_4017ga.htm"
"SC TO-I","10900","Third Party Tender Offer/Rights Acquisition Statement. Filed by a person or group making a tender offer or acquiring a substantial amount of a company's securities.","https://www.sec.gov/Archives/edgar/data/1634452/000119312524210329/0001193125-24-210329-index.html","https://www.sec.gov/Archives/edgar/data/1634452/000119312524210329/d848558dsctoi.htm"
"8-A12G","10375","Registration of a Class of Securities Under Section 12(g). Used by companies to register a class of securities when they meet certain criteria.","https://www.sec.gov/Archives/edgar/data/1902700/000118518524000861/0001185185-24-000861-index.html","https://www.sec.gov/Archives/edgar/data/1902700/000118518524000861/pgf20240829_8a12g.htm"
"PRE 14C","10187","Preliminary Information Statement. This is a non-voting version of a proxy statement, providing information to shareholders but not requiring a vote.","https://www.sec.gov/Archives/edgar/data/1816937/000149315224034577/0001493152-24-034577-index.html","https://www.sec.gov/Archives/edgar/data/1816937/000149315224034577/formpre14c.htm"
"SC 14D9/A","10167","Amendment to Tender Offer/Rights Acquisition Solicitation Statement. Filed to make changes to a previously filed Schedule 14D-9, which is related to tender offers.","https://www.sec.gov/Archives/edgar/data/912958/000095010324012602/0000950103-24-012602-index.html","https://www.sec.gov/Archives/edgar/data/912958/000095010324012602/dp217074_sc14d9a-4.htm"
"SC 14D1/A","10108","Amendment to Tender Offer Statement. Used to update a Schedule 14D-1, which is filed by bidders in a tender offer situation.","https://www.sec.gov/Archives/edgar/data/1165167/000116516702500007/0001165167-02-500007-index.html","https://www.sec.gov/Archives/edgar/data/1165167/000116516702500007/formaltxt.txt"
"C/A","9612","Amendment to Common Stock. Filed to reflect changes in the company's common stock, such as stock splits or reverse stock splits.","https://www.sec.gov/Archives/edgar/data/1818274/000181827424000018/0001818274-24-000018-index.html","https://www.sec.gov/Archives/edgar/data/1818274/000181827424000018/xslC_X01/primary_doc.xml"
"TA-2","9591","Takedown. Filed to report the sale of securities from a previously registered shelf offering.","https://www.sec.gov/Archives/edgar/data/1963417/000196341724000002/0001963417-24-000002-index.html","https://www.sec.gov/Archives/edgar/data/1963417/000196341724000002/xslFTA2X01/primary_doc.xml"
"SC 13E3/A","9583","Amendment to Going Private Statement. Used when there are changes to a previously filed Schedule 13E-3, which relates to going-private transactions.","https://www.sec.gov/Archives/edgar/data/1496963/000114036124039422/0001140361-24-039422-index.html","https://www.sec.gov/Archives/edgar/data/1496963/000114036124039422/ny20030653x11_sc13e3a.htm"
"MA-I","9145","Merger or Acquisition Statement.  Provides details about a merger or acquisition transaction.","https://www.sec.gov/Archives/edgar/data/1623047/000162304724000005/0001623047-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1623047/000162304724000005/xslFormMA-I_X01/primary_doc.xml"
"SC TO-C","9093","Tender Offer/Rights Acquisition Commencement Statement. Filed when a tender offer or rights acquisition is commenced.","https://www.sec.gov/Archives/edgar/data/1199004/000089843224000759/0000898432-24-000759-index.html","https://www.sec.gov/Archives/edgar/data/1199004/000089843224000759/sctoc.htm"
"C","8982","Common Stock. This designation typically refers to filings related to a company's common stock, such as prospectuses or registration statements.","https://www.sec.gov/Archives/edgar/data/2022829/000167025424000893/0001670254-24-000893-index.html","https://www.sec.gov/Archives/edgar/data/2022829/000167025424000893/xslC_X01/primary_doc.xml"
"S-6/A","8982","Amendment to Registration Statement for Unit Investment Trusts.  Updates previously filed information.","https://www.sec.gov/Archives/edgar/data/2025084/000144554624006032/0001445546-24-006032-index.html","https://www.sec.gov/Archives/edgar/data/2025084/000144554624006032/s6a.htm"
"NO ACT","8851","No Action Letter. A request made to the SEC for clarification or guidance on a specific securities law matter.","https://www.sec.gov/Archives/edgar/data/38777/999999999717009663/9999999997-17-009663-index.html","https://www.sec.gov/Archives/edgar/data/38777/999999999717009663/9999999997-17-009663.paper"
"5/A","8509","Amendment to Report of Unscheduled Events.  Used to correct errors in a Form 5.","https://www.sec.gov/Archives/edgar/data/1404655/000095017024098603/0000950170-24-098603-index.html","https://www.sec.gov/Archives/edgar/data/1188898/000095017024098603/xslF345X05/ownership.xml"
"424B1","8465","Prospectus. Filed as part of a registration statement or to provide additional information about securities.","https://www.sec.gov/Archives/edgar/data/1960262/000190359624000558/0001903596-24-000558-index.html","https://www.sec.gov/Archives/edgar/data/1960262/000190359624000558/ludg_424b1.htm"
"1-U","7852","Notification Updating Statement.  Filed by Canadian issuers.","https://www.sec.gov/Archives/edgar/data/1410708/000141070824000004/0001410708-24-000004-index.html","https://www.sec.gov/Archives/edgar/data/1410708/000141070824000004/emocap_1u.htm"
"SB-2","7777","Registration Statement under the Securities Act. A simplified registration form used by ""small business issuers"" to register offerings of securities.","https://www.sec.gov/Archives/edgar/data/1424864/000117625608000123/0001176256-08-000123-index.html","https://www.sec.gov/Archives/edgar/data/1424864/000117625608000123/atlanticsb2feb4.htm"
"CERT","7684","Certification.  Confirms the authenticity or accuracy of information submitted.","https://www.sec.gov/Archives/edgar/data/1797318/000141783524000126/0001417835-24-000126-index.html","https://www.sec.gov/Archives/edgar/data/1797318/000141783524000126/8A_Cert_SEPU.pdf"
"424B7","7546","Prospectus.  Provides investors with essential information about the securities and the issuer.","https://www.sec.gov/Archives/edgar/data/106040/000119312524207258/0001193125-24-207258-index.html","https://www.sec.gov/Archives/edgar/data/106040/000119312524207258/d866041d424b7.htm"
"40-24B2","7428","Notice of Election to Compute Rule 24f-2 Fee on an Actual Basis.   Filed by certain investment companies.","https://www.sec.gov/Archives/edgar/data/225030/000199937124009929/0001999371-24-009929-index.html","https://www.sec.gov/Archives/edgar/data/225030/000199937124009929/hitkmtstl2q24_4024b2-080924.htm"
"F-4/A","7354","Amendment to Registration Statement.  Used when there are material changes to the information in the initial registration statement.","https://www.sec.gov/Archives/edgar/data/2021938/000119312524211246/0001193125-24-211246-index.html","https://www.sec.gov/Archives/edgar/data/2021938/000119312524211246/d805815df4a.htm"
"NPORT-EX","7210","Notice of Exemption from Filing Form N-PORT.  Filed by certain registered investment companies.","https://www.sec.gov/Archives/edgar/data/1027596/000119312519278752/0001193125-19-278752-index.html","https://www.sec.gov/Archives/edgar/data/1027596/000119312519278752/d777458dnportex.htm"
"DEFR14A","6960","Definitive Proxy Statement Furnished Pursuant to Regulation 14A. This signifies a definitive proxy statement provided to shareholders.","https://www.sec.gov/Archives/edgar/data/1437925/000147793224005402/0001477932-24-005402-index.html","https://www.sec.gov/Archives/edgar/data/1437925/000147793224005402/gmgi_def14a.htm"
"POS AMI","6945","Post-Effective Amendment (Amendment No. 1).  Used for various registration statements and other filings.","https://www.sec.gov/Archives/edgar/data/896162/000113743924001333/0001137439-24-001333-index.html","https://www.sec.gov/Archives/edgar/data/896162/000113743924001333/posami.htm"
"F-1/A","6739","Amendment to a Registration Statement Filed by Certain Foreign Private Issuers. Filed by foreign companies to update information from a previous Form F-1.","https://www.sec.gov/Archives/edgar/data/1938534/000149315224034538/0001493152-24-034538-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1938534/000149315224034538/formf-1a.htm"
"POS EX","6610","Post-Effective Amendment to a Registration Statement Filed on Form S-1. This type of amendment is specific to Form S-1 filings.","https://www.sec.gov/Archives/edgar/data/1918712/000191871224000119/0001918712-24-000119-index.html","https://www.sec.gov/Archives/edgar/data/1918712/000191871224000119/posexamendmentno15.htm"
"6-K/A","6545","Amendment to a Report of Foreign Issuer. Used to make corrections or provide updates to information from a previous 6-K filing.","https://www.sec.gov/Archives/edgar/data/1865408/000186540824000057/0001865408-24-000057-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1865408/000186540824000057/exai-20240630.htm"
"497VPU","6539","Prospectus for a Variable Insurance Product - Unit Investment Trust. This is a specific type of prospectus for variable insurance products.","https://www.sec.gov/Archives/edgar/data/1074486/000110465924095494/0001104659-24-095494-index.html","https://www.sec.gov/Archives/edgar/data/1074486/000110465924095494/tm2422751d1_497vpu.htm"
"N-2/A","6432","Amendment to a Registration Statement Filed on Form N-2 by a Closed-End Management Investment Company. Used for updates to N-2 filings.","https://www.sec.gov/Archives/edgar/data/1219120/000182126824000261/0001821268-24-000261-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1219120/000182126824000261/gug87916avk-n2a.htm"
"DEFM14A","6413","Definitive Proxy Statement. Filed by a company that is soliciting shareholder votes.","https://www.sec.gov/Archives/edgar/data/1769804/000119312524209372/0001193125-24-209372-index.html","https://www.sec.gov/Archives/edgar/data/1769804/000119312524209372/d882127ddefm14a.htm"
"REVOKED","6384","Revoked Filing. Indicates that a previously submitted filing to the SEC has been withdrawn or canceled.","https://www.sec.gov/Archives/edgar/data/1063239/999999999724003357/9999999997-24-003357-index.html","https://www.sec.gov/Archives/edgar/data/1063239/999999999724003357/filename1.pdf"
"NSAR-B/A","6279","Amendment to Filing of Report of Proxy Voting Records by Smaller Reporting Management Investment Companies.  ","https://www.sec.gov/Archives/edgar/data/722885/000114420419029656/0001144204-19-029656-index.html","https://www.sec.gov/Archives/edgar/data/722885/000114420419029656/tv523060_nsar-ba.fil"
